# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
2446,1684559281,7827200,0.264835775,1.23189342,-0.264775246,1.64430511,-0.266178787,1.422381759
2447,1684559282,7830400,0.264835775,1.23189342,-0.267099261,1.684433818,-0.266178787,1.422381759
2448,1684559284,7833600,0.26684171,1.469986796,-0.267099261,1.684433818,-0.266178787,1.422381759
2449,1684559290,7836800,0.26684171,1.469986796,-0.267099261,1.684433818,-0.267042875,1.432264566
2450,1684559291,7840000,0.26684171,1.469986796,-0.268266559,1.740701914,-0.267042875,1.432264566
2451,1684559293,7843200,0.267418325,1.36120069,-0.268266559,1.740701914,-0.267042875,1.432264566
2452,1684559298,7846400,0.267418325,1.36120069,-0.268266559,1.740701914,-0.267463893,1.605804682
2453,1684559299,7849600,0.267418325,1.36120069,-0.267748445,1.871414423,-0.267463893,1.605804682
2454,1684559301,7852800,0.268345714,1.65339005,-0.267748445,1.871414423,-0.267463893,1.605804682
2455,1684559307,7856000,0.268345714,1.65339005,-0.267748445,1.871414423,-0.268324167,1.465768099
2456,1684559308,7859200,0.268345714,1.65339005,-0.268108428,1.86224699,-0.268324167,1.465768099
2457,1684559309,7862400,0.268954486,1.600298285,-0.268108428,1.86224699,-0.268324167,1.465768099
2458,1684559316,7865600,0.268954486,1.600298285,-0.268108428,1.86224699,-0.266416967,1.312167048
2459,1684559317,7868800,0.267722487,1.258819699,-0.268108428,1.86224699,-0.266416967,1.312167048
2460,1684559317,7872000,0.267722487,1.258819699,-0.266513288,1.623414397,-0.266416967,1.312167048
2461,1684559324,7875200,0.267722487,1.258819699,-0.266513288,1.623414397,-0.26573506,1.222501755
2462,1684559325,7878400,0.267544717,1.417135835,-0.266513288,1.623414397,-0.26573506,1.222501755
2463,1684559326,7881600,0.267544717,1.417135835,-0.265418172,1.495923162,-0.26573506,1.222501755
2464,1684559333,7884800,0.267544717,1.417135835,-0.265418172,1.495923162,-0.264514923,1.539512873
2465,1684559333,7888000,0.267147928,1.34676981,-0.265418172,1.495923162,-0.264514923,1.539512873
2466,1684559335,7891200,0.267147928,1.34676981,-0.264552444,1.696927786,-0.264514923,1.539512873
2467,1684559341,7894400,0.267347068,1.374890685,-0.264552444,1.696927786,-0.264514923,1.539512873
2468,1684559341,7897600,0.267347068,1.374890685,-0.264552444,1.696927786,-0.265257359,1.305662513
2469,1684559344,7900800,0.267347068,1.374890685,-0.265459448,1.596883178,-0.265257359,1.305662513
